sample,group
GSM1288369,BD HGB_1
GSM1288370,BD HGB_2
GSM1288371,BD HGB_3
GSM1288372,BD HGB_4
GSM1288373,BD HGB_5
GSM1288374,Control HGB_6
GSM1288375,Control HGB_7
GSM1288376,Control HGB_8
GSM1288377,Control HGB_9
GSM1288378,Control HGB_10
GSM1288379,BD HGB_11
GSM1288380,BD HGB_12
GSM1288381,BD HGB_13
GSM1288382,BD HGB_14
GSM1288383,BD HGB_15
GSM1288384,BD HGB_16
GSM1288385,Control HGB_17
GSM1288386,Control HGB_18
GSM1288387,Control HGB_19
GSM1288388,Control HGB_20
GSM1288389,Control HGB_21
GSM1288390,Control HGB_22
